id,output
22,(ORDER (PIZZAORDER (NUMBER a ) (STYLE lage ) (TOPPING yellow ) (TOPPING pepper ) (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING ham ) ) ) )
23,(ORDER (PIZZAORDER (NUMBER one ) (TOPPING parmesan ) (NOT (TOPPING olive ) ) ) )
24,(ORDER (PIZZAORDER (NUMBER four ) (SIZE personal ) (TOPPING tomato ) (TOPPING pickle ) ) )
25,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING pesonal ) (TOPPING pickle ) (TOPPING onion ) (TOPPING sausage ) (COMPLEX_TOPPING (QUANTITY a little bit ) (TOPPING cheese ) ) ) )
26,(ORDER (PIZZAORDER (NUMBER twelve ) (SIZE xl ) (TOPPING red ) (TOPPING onion ) (TOPPING garlic ) (TOPPING ham ) ) )
27,(ORDER (PIZZAORDER (NUMBER an ) (STYLE mediumsize ) (TOPPING alfredo ) (TOPPING chicken ) (TOPPING carrot ) (TOPPING pineapple ) ) )
28,(ORDER (PIZZAORDER (NUMBER a ) (SIZE personal ) (TOPPING pineapple ) (TOPPING onion ) (TOPPING pine ) (TOPPING apple ) (TOPPING bacon ) (TOPPING sausage ) (COMPLEX_TOPPING (QUANTITY a lot of ) (TOPPING cheese ) ) ) )
29,(ORDER (PIZZAORDER (NUMBER a ) (STYLE largesize ) ) (PIZZAORDER (NUMBER one ) (STYLE everything ) (TOPPING meatball ) (NOT (TOPPING mushroom ) ) ) )
30,(ORDER (PIZZAORDER (NUMBER a ) (SIZE personal ) (TOPPING pea ) (NOT (TOPPING pepperoni ) ) ) )
31,(ORDER (PIZZAORDER (NUMBER a ) (SIZE lunch ) (TOPPING caper ) ) (PIZZAORDER (NUMBER a ) (TOPPING combiation ) (NOT (TOPPING garlic ) ) ) )
32,(ORDER (PIZZAORDER (NUMBER one ) (STYLE mediumize ) (TOPPING black ) (TOPPING bean ) (TOPPING pineapple ) (NOT (TOPPING sausage ) ) ) )
33,(ORDER (PIZZAORDER (NUMBER one ) (STYLE mint ) (TOPPING bacon ) ) )
34,(ORDER (PIZZAORDER (NUMBER a a ) (TOPPING hummus ) ) )
35,(ORDER (PIZZAORDER (NUMBER two ) (SIZE mediumsized ) (TOPPING black ) (TOPPING olive ) (TOPPING bacon ) (COMPLEX_TOPPING (QUANTITY a little ) (TOPPING cheese ) ) ) )
36,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING pepper ) (TOPPING onion ) (NOT (TOPPING ham ) ) ) )
37,(ORDER (PIZZAORDER (NUMBER three ) (TOPPING broccoli ) (TOPPING zucchini ) ) )
38,(ORDER (PIZZAORDER (NUMBER a ) (STYLE mediumsize ) (TOPPING jalepenos ) (TOPPING cheese ) ) )
39,(ORDER )
40,(ORDER )
41,(ORDER (PIZZAORDER (NUMBER a ) (SIZE xl ) (TOPPING pepper ) (TOPPING hamburger ) (TOPPING pineapple ) ) )
42,(ORDER (PIZZAORDER (NUMBER fourteen ) (TOPPING bell ) (TOPPING pepper ) (TOPPING lee ) (NOT (TOPPING pepperoni ) ) ) )
43,(ORDER (PIZZAORDER (NUMBER fourteen ) (TOPPING pepper ) (COMPLEX_TOPPING (QUANTITY med a little bit ) (TOPPING green ) ) (COMPLEX_TOPPING (QUANTITY a little bit ) (TOPPING cheeseburger ) ) ) )
44,(ORDER (PIZZAORDER (NUMBER two ) (STYLE prsonal ) (TOPPING pine ) (TOPPING apple ) (TOPPING low ) (TOPPING fat ) (TOPPING cheese ) ) )
45,(ORDER (PIZZAORDER (NUMBER seven ) (SIZE extra large ) (TOPPING feta ) (TOPPING cheese ) (TOPPING mushroom ) (TOPPING black ) (TOPPING olive ) ) (PIZZAORDER (NUMBER six ) (SIZE large ) (TOPPING pepperoni ) (TOPPING sausage ) (TOPPING mushroom ) ) )
46,(ORDER )
47,(ORDER (PIZZAORDER (NUMBER a ) (SIZE mediumsized ) (TOPPING basil ) (TOPPING caper ) ) )
48,(ORDER (PIZZAORDER (NUMBER one ) (SIZE extra large ) (STYLE all the veggie ) ) (DRINKORDER (NUMBER a ) (DRINKTYPE dew ) ) )
49,(ORDER (PIZZAORDER (NUMBER one ) (STYLE lage ) (TOPPING red ) (TOPPING onion ) (TOPPING kimchi ) (NOT (TOPPING onion ) ) ) )
50,(ORDER (PIZZAORDER (NUMBER one ) (STYLE stick ) ) (PIZZAORDER (NUMBER seven ) (SIZE lunch size ) (TOPPING bacon ) (TOPPING ham ) ) )
51,(ORDER (PIZZAORDER (NUMBER one ) (SIZE xl ) (STYLE big meat ) (NOT (TOPPING pepperoni ) ) ) )
52,(ORDER (PIZZAORDER (NUMBER three ) (SIZE small ) (TOPPING bacon ) (TOPPING ham ) ) )
53,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING ricotta ) (TOPPING cheese ) (TOPPING ham ) (TOPPING tuna ) ) )
54,(ORDER (PIZZAORDER (NUMBER in a ) (SIZE medium ) (TOPPING ham ) (TOPPING bacon ) (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) )
55,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING cucumber ) (TOPPING pesto ) (NOT (TOPPING vegies ) ) ) )
56,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING sauce ) (TOPPING red ) (TOPPING onion ) (TOPPING sauce ) (NOT (TOPPING red onion ) ) ) )
57,(ORDER (PIZZAORDER (NUMBER a ) (STYLE med ) (TOPPING sauce ) (TOPPING grind ) (TOPPING beef ) (TOPPING onion ) (TOPPING mushroom ) ) (DRINKORDER (NUMBER a ) (DRINKTYPE lemonice ) ) )
58,(ORDER (PIZZAORDER (NUMBER eleven ) (STYLE largesize ) (TOPPING banana ) (TOPPING pepper ) ) )
59,(ORDER (PIZZAORDER (NUMBER fifteen ) (TOPPING mushroom ) ) (DRINKORDER (NUMBER four ) (SIZE xl ) (DRINKTYPE diet sprite ) ) (DRINKORDER (NUMBER three ) (DRINKTYPE pepsi ) ) )
60,(ORDER (PIZZAORDER (NUMBER a ) (SIZE personal ) (TOPPING artichoke ) (TOPPING balsamic ) (TOPPING glaze ) (NOT (TOPPING sauce ) ) ) )
61,(ORDER )
62,(ORDER (PIZZAORDER (NUMBER a ) (STYLE med ) (TOPPING green ) (TOPPING cheeseburger ) (TOPPING cheeseburger ) (NOT (TOPPING tuna ) ) ) )
63,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING red ) (TOPPING onion ) (TOPPING pea ) (TOPPING pepperoni ) ) )
64,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING ricotta ) (TOPPING cheese ) (TOPPING pea ) (NOT (TOPPING onion ) ) ) )
65,(ORDER )
66,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING chickn ) (COMPLEX_TOPPING (QUANTITY extralarge ) (TOPPING grill ) ) (COMPLEX_TOPPING (QUANTITY and ) (TOPPING bacon ) ) ) (DRINKORDER (NUMBER one ) (DRINKTYPE seven ) (CONTAINERTYPE bottle ) ) (DRINKORDER (NUMBER one ) (DRINKTYPE spries ) ) )
67,(ORDER (PIZZAORDER (NUMBER one ) (SIZE small ) (TOPPING balsamic ) (TOPPING pesto ) (NOT (TOPPING pepperoni ) ) ) )
68,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING roast ) (TOPPING tomato ) (TOPPING pesto ) (NOT (TOPPING big ) ) ) )
69,(ORDER (PIZZAORDER (NUMBER a ) (SIZE extra ) (TOPPING pepers ) (TOPPING pineapple ) (NOT (TOPPING ham ) ) (COMPLEX_TOPPING (QUANTITY lage ) (TOPPING hot ) ) ) (DRINKORDER (NUMBER one ) (DRINKTYPE up ) ) )
70,(ORDER (PIZZAORDER (NUMBER a ) (STYLE mediumsize ) (TOPPING garlic ) (TOPPING pesto ) (NOT (TOPPING chorizo ) ) ) )
71,(ORDER (PIZZAORDER (NUMBER one ) (SIZE small ) (TOPPING cheese ) (TOPPING red ) (TOPPING onion ) (NOT (TOPPING grind beef ) ) ) )
72,(ORDER (PIZZAORDER (NUMBER a ) (STYLE mdiumsized ) (TOPPING green ) (TOPPING bell ) (TOPPING pepper ) (TOPPING buffalo ) (TOPPING sauce ) (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING prmesan ) ) ) )
73,(ORDER (PIZZAORDER (NUMBER one ) (SIZE lunch ) (TOPPING tofu ) (TOPPING lettuce ) ) )
74,(ORDER (PIZZAORDER (NUMBER a ) (SIZE personal ) (TOPPING green ) (TOPPING pepper ) (TOPPING cheese ) (NOT (TOPPING pepper ) ) ) )
75,(ORDER (PIZZAORDER (NUMBER six ) (TOPPING leek ) (TOPPING carrot ) (NOT (TOPPING pepper ) ) ) )
76,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING banana ) (NOT (TOPPING olive ) ) (COMPLEX_TOPPING (QUANTITY a tiny bit of ) (TOPPING cheese ) ) ) )
77,(ORDER (PIZZAORDER (NUMBER a ) (SIZE extra large ) (TOPPING jalepenos ) (TOPPING tomato ) (TOPPING sauce ) (NOT (TOPPING olive ) ) ) (DRINKORDER (NUMBER one ) (DRINKTYPE ike ) ) )
78,(ORDER (PIZZAORDER (NUMBER five ) (STYLE lnch ) (TOPPING buffalo ) (TOPPING sauce ) (TOPPING artichoke ) ) )
79,(ORDER (PIZZAORDER (NUMBER eleven ) (STYLE mediumszed ) (TOPPING buffalo ) (TOPPING sauce ) (TOPPING pesto ) (TOPPING sauce ) ) )
80,(ORDER (PIZZAORDER (NUMBER nine ) (TOPPING carrot ) (TOPPING black ) (TOPPING olive ) (NOT (TOPPING pesto ) ) ) )
81,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING bbq ) (TOPPING sauce ) ) )
82,(ORDER (PIZZAORDER (NUMBER a ten ) (TOPPING pea ) ) (DRINKORDER (NUMBER ten ) (DRINKTYPE sparkle ) ) (DRINKORDER (NUMBER one ) (DRINKTYPE coke ) ) )
83,(ORDER (PIZZAORDER (NUMBER try four ) (STYLE med ) (TOPPING ham ) (TOPPING roast ) (TOPPING red ) (TOPPING onion ) ) (PIZZAORDER (NUMBER six ) (COMPLEX_TOPPING (QUANTITY almnd ) (TOPPING milk ) ) ) (DRINKORDER (NUMBER two ) (DRINKTYPE sprite ) ) (DRINKORDER (NUMBER two ) (DRINKTYPE sprite ) ) )
84,(ORDER (PIZZAORDER (NUMBER five ) (SIZE large ) (COMPLEX_TOPPING (QUANTITY light ) (TOPPING jalepenos ) ) ) (DRINKORDER (NUMBER five ) (DRINKTYPE latts ) (CONTAINERTYPE can ) ) )
85,(ORDER (PIZZAORDER (NUMBER one ) (STYLE fifeen ) (TOPPING spicy ) (TOPPING red ) (TOPPING sauce ) (NOT (TOPPING bacon ) ) ) )
86,(ORDER (PIZZAORDER (NUMBER one ) (TOPPING bacon ) (TOPPING tuna ) (TOPPING cheese ) ) )
87,(ORDER )
88,(ORDER (PIZZAORDER (NUMBER a ) (SIZE extra large ) (STYLE everything ) (COMPLEX_TOPPING (QUANTITY light ) (TOPPING cheese ) ) (COMPLEX_TOPPING (QUANTITY and light ) (TOPPING bacon ) ) ) (DRINKORDER (NUMBER four ) (SIZE extra large ) (DRINKTYPE lates ) ) (DRINKORDER (NUMBER two ) (SIZE extra large ) (DRINKTYPE lates with no sugar ) ) )
89,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING garlic ) (TOPPING tomatoe ) (TOPPING sauce ) (TOPPING mushroom ) ) )
90,(ORDER (PIZZAORDER (NUMBER one ) (TOPPING choice ) (TOPPING a ) ) (PIZZAORDER (NUMBER a ) (TOPPING pineapple ) (TOPPING beef ) (COMPLEX_TOPPING (QUANTITY additional ) (TOPPING onion ) ) ) )
91,(ORDER (PIZZAORDER (NUMBER one ) (TOPPING potato ) (TOPPING onion ) (TOPPING pepperoni ) (COMPLEX_TOPPING (QUANTITY double ) (TOPPING sweet ) ) ) )
92,(ORDER (PIZZAORDER (NUMBER fourteen ) (SIZE mediumsized ) (TOPPING brocoli ) (TOPPING onion ) ) (DRINKORDER (NUMBER fourteen ) (CONTAINERTYPE can ) ) )
93,(ORDER (PIZZAORDER (NUMBER eleven ) (TOPPING olive ) (TOPPING arichokes ) ) )
94,(ORDER (PIZZAORDER (NUMBER a ) (SIZE lunch ) (TOPPING pepper ) (TOPPING salmon ) (TOPPING tuna ) ) )
95,(ORDER (PIZZAORDER (NUMBER an ) (NOT (STYLE deep ) ) (TOPPING smoke ) (TOPPING salmon ) (TOPPING tuna ) ) )
96,(ORDER (PIZZAORDER (NUMBER thirteen ) (SIZE personal ) (STYLE hawiian ) (TOPPING onion ) (TOPPING sausage ) ) )
97,(ORDER (PIZZAORDER (NUMBER nine ) (TOPPING pepper ) ) (DRINKORDER (NUMBER six ) (SIZE extra large ) (DRINKTYPE fantas ) ) (DRINKORDER (NUMBER six ) (SIZE extra large ) (DRINKTYPE coke ) ) )
98,(ORDER (PIZZAORDER (NUMBER two ) (TOPPING olive ) (TOPPING canadian ) (TOPPING bacon ) ) )
99,(ORDER )
100,(ORDER (PIZZAORDER (NUMBER one ) (STYLE med ) (TOPPING salmon ) (TOPPING green ) (TOPPING olive ) ) )
101,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING feta ) (NOT (TOPPING onion ) ) (COMPLEX_TOPPING (QUANTITY additional ) (TOPPING cheese ) ) ) )
102,(ORDER (PIZZAORDER (NUMBER an ) (SIZE small ) (TOPPING grill ) (TOPPING chicken ) (TOPPING roast ) (TOPPING garlic ) (NOT (TOPPING green bell pepper ) ) ) )
103,(ORDER (PIZZAORDER (NUMBER an ) (TOPPING f ) ) (PIZZAORDER (NUMBER a ) (TOPPING bell ) (TOPPING pepper ) ) (DRINKORDER (NUMBER a ) (SIZE medium ) (DRINKTYPE soda ) ) (DRINKORDER (NUMBER a ) (SIZE medium ) (DRINKTYPE soda ) ) )
104,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING cumin ) (TOPPING chicken ) (NOT (TOPPING olive ) ) ) )
105,(ORDER (PIZZAORDER (NUMBER n two ) (SIZE large ) (TOPPING pickle ) (TOPPING onons ) (TOPPING olive ) ) (PIZZAORDER (NUMBER a ) (COMPLEX_TOPPING (QUANTITY drizzle ) (TOPPING cheese ) ) ) )
106,(ORDER (PIZZAORDER (NUMBER one ) (SIZE personal ) (TOPPING sundried ) (TOPPING tomato ) (TOPPING pea ) (TOPPING bbq ) (TOPPING sauce ) ) )
107,(ORDER (PIZZAORDER (NUMBER six ) (STYLE broccli ) (TOPPING alot ) (TOPPING cheese ) ) )
108,(ORDER (PIZZAORDER (NUMBER a ) (SIZE xl ) (TOPPING pepperoni ) (TOPPING beef ) (NOT (TOPPING corn ) ) ) )
109,(ORDER (PIZZAORDER (NUMBER a ) (STYLE stuff crust ) (TOPPING pepperoni ) (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) )
110,(ORDER (PIZZAORDER (NUMBER five ) (SIZE large ) (TOPPING bacon ) (TOPPING chicken ) (NOT (TOPPING ham ) ) ) )
111,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING olive ) (TOPPING green ) (TOPPING pepper ) (NOT (TOPPING pesto ) ) ) )
112,(ORDER (PIZZAORDER (NUMBER a ) (STYLE lrgesize ) (TOPPING meatball ) (TOPPING sausage ) ) )
113,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING pickle ) (TOPPING onion ) (TOPPING ham ) (TOPPING tuna ) ) )
114,(ORDER (PIZZAORDER (NUMBER one ) (SIZE xl ) (TOPPING sriracha ) (TOPPING sauce ) (TOPPING mushroom ) (NOT (TOPPING olive ) ) ) )
115,(ORDER (PIZZAORDER (NUMBER one ) (SIZE xl ) (TOPPING red ) (TOPPING onion ) (TOPPING yellow ) (TOPPING pepper ) (NOT (TOPPING ham ) ) ) )
116,(ORDER (PIZZAORDER (NUMBER one ) (STYLE sven largesize ) (TOPPING tuna ) (TOPPING beef ) (TOPPING garlic ) (TOPPING powder ) ) )
117,(ORDER (PIZZAORDER (NUMBER two ) (COMPLEX_TOPPING (QUANTITY med ) (TOPPING drpepper ) ) ) (DRINKORDER (NUMBER a ) (SIZE med ) (DRINKTYPE up ) ) )
118,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING buffalo ) (TOPPING sauce ) (TOPPING lamb ) (NOT (TOPPING chicken ) ) ) )
119,(ORDER (PIZZAORDER (NUMBER one ) (TOPPING garlic ) (TOPPING mushroom ) (COMPLEX_TOPPING (QUANTITY a little bit ) (TOPPING cheese ) ) ) )
120,(ORDER (PIZZAORDER (NUMBER a ) (SIZE lunch ) (STYLE mexican ) ) (PIZZAORDER (NUMBER a ) (SIZE lunch ) (STYLE gorgonzola ) ) (PIZZAORDER (NUMBER a ) (SIZE lunch ) (STYLE veggie ) ) )
121,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING jalepeno ) (TOPPING pepper ) (TOPPING cheese ) (NOT (TOPPING veggie ) ) ) )
122,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING spinach ) (NOT (TOPPING pesto ) ) (COMPLEX_TOPPING (QUANTITY double ) (TOPPING pickle ) ) ) )
123,(ORDER (PIZZAORDER (NUMBER a ) (STYLE mdium ) (TOPPING pepper ) (TOPPING spinach ) (COMPLEX_TOPPING (QUANTITY a tiny bit of ) (TOPPING cheese ) ) ) )
124,(ORDER (PIZZAORDER (NUMBER an ) (STYLE largesize ) (TOPPING chicken ) (NOT (TOPPING tuna ) ) (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) )
125,(ORDER (PIZZAORDER (NUMBER thirteen ) (SIZE small ) (TOPPING tomtoes ) (TOPPING bacon ) (COMPLEX_TOPPING (QUANTITY a little bit ) (TOPPING cheese ) ) ) )
126,(ORDER (PIZZAORDER (NUMBER a ) (SIZE mediumsized ) (TOPPING bel ) (TOPPING pepper ) (TOPPING pepper ) (NOT (TOPPING pineapple ) ) ) )
127,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING pineapple ) (TOPPING bbq ) (TOPPING chicken ) (NOT (TOPPING pepper ) ) ) )
128,(ORDER (PIZZAORDER (NUMBER ten ) (TOPPING tomto ) (TOPPING pesto ) (NOT (TOPPING pepperoni ) ) ) )
129,(ORDER (PIZZAORDER (NUMBER a ) (SIZE med ) (TOPPING red ) (TOPPING onion ) (TOPPING garlic ) (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) )
130,(ORDER (PIZZAORDER (NUMBER two ) (STYLE cheddarcheese ) (TOPPING pepperoni ) (TOPPING ham ) ) )
131,(ORDER (PIZZAORDER (NUMBER one ) (SIZE lunch size ) (TOPPING green ) (TOPPING olive ) (TOPPING bacon ) (NOT (TOPPING tomato ) ) ) )
132,(ORDER (PIZZAORDER (NUMBER one ) (TOPPING pick ) ) (PIZZAORDER (NUMBER a ) (TOPPING ham ) (TOPPING hambrger ) (NOT (TOPPING bacon ) ) ) )
133,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING pepper ) (NOT (TOPPING pesto ) ) (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING olive ) ) ) )
134,(ORDER (PIZZAORDER (NUMBER one ) (TOPPING oil ) (TOPPING oil ) (COMPLEX_TOPPING (QUANTITY little ) (TOPPING cheese ) ) ) )
135,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING cherry ) (TOPPING tomato ) (TOPPING bacon ) (TOPPING ham ) ) )
136,(ORDER (PIZZAORDER (NUMBER one ) (TOPPING pan ) (TOPPING tomato ) (TOPPING med ) ) )
137,(ORDER )
138,(ORDER (PIZZAORDER (NUMBER fifteen ) (SIZE extra large ) (TOPPING blue ) (TOPPING cheese ) (COMPLEX_TOPPING (QUANTITY mushy ) (TOPPING pea ) ) ) (PIZZAORDER (NUMBER one ) (SIZE extra large ) (TOPPING blue ) (TOPPING cheese ) (TOPPING mushroom ) ) (PIZZAORDER (NUMBER one ) (SIZE large ) (TOPPING blue ) (TOPPING cheese ) (TOPPING green ) (TOPPING pepper ) ) )
139,(ORDER (PIZZAORDER (NUMBER an ) (TOPPING anchovis ) (TOPPING onion ) (TOPPING pineapple ) ) )
140,(ORDER (PIZZAORDER (NUMBER a ) (SIZE mediumsized ) (TOPPING alfredo ) (TOPPING chicken ) (TOPPING yellow ) (TOPPING pepper ) ) (DRINKORDER (NUMBER two ) (DRINKTYPE sprite ) (CONTAINERTYPE bottle ) ) )
141,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING grind ) (TOPPING beef ) (TOPPING a ) (TOPPING cheese ) (TOPPING pesto ) ) )
142,(ORDER (PIZZAORDER (NUMBER one ) (SIZE medium ) (STYLE thin crust ) (TOPPING low ) (TOPPING fat ) (TOPPING cheese ) (NOT (TOPPING bbq sauce ) ) ) )
143,(ORDER (PIZZAORDER (NUMBER a ) (SIZE xl ) (TOPPING bbq ) (TOPPING sauce ) (TOPPING anchovy ) (COMPLEX_TOPPING (QUANTITY light on ) (TOPPING the ) ) ) )
144,(ORDER (PIZZAORDER (NUMBER one ) (TOPPING artichoke ) (TOPPING chicken ) (NOT (TOPPING bacon ) ) ) )
145,(ORDER (PIZZAORDER (NUMBER one ) (TOPPING pick ) ) (PIZZAORDER (NUMBER thirteen ) (STYLE mrgarita ) (TOPPING med ) ) (PIZZAORDER (NUMBER a ) (STYLE crust ) (TOPPING glutenfree ) (TOPPING prawn ) ) )
146,(ORDER (PIZZAORDER (NUMBER a ) (STYLE largesize ) (TOPPING pepper ) (TOPPING tuna ) (TOPPING mushroom ) (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING geen ) ) ) )
147,(ORDER (PIZZAORDER (NUMBER a ) (SIZE xl ) (TOPPING tuna ) (TOPPING bacon ) (TOPPING pepperoni ) ) )
148,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING prawn ) (TOPPING and ) (TOPPING spinach ) ) )
149,(ORDER (PIZZAORDER (NUMBER one ) (TOPPING mexican ) (TOPPING hamburger ) (NOT (TOPPING olive ) ) ) )
150,(ORDER (PIZZAORDER (NUMBER one ) (NOT (TOPPING a ) ) ) (PIZZAORDER (NUMBER a ) (TOPPING med ) (TOPPING pesto ) (TOPPING ham ) (NOT (TOPPING tuna ) ) ) )
151,(ORDER (PIZZAORDER (NUMBER six ) (SIZE extra large ) (TOPPING roast ) (TOPPING tomato ) ) (PIZZAORDER (NUMBER one ) (SIZE large ) (STYLE stuff crust ) ) )
152,(ORDER (PIZZAORDER (NUMBER an ) (SIZE personal ) (STYLE veggie ) (NOT (TOPPING sausage ) ) ) )
153,(ORDER (PIZZAORDER (NUMBER a ) (SIZE lunch ) (TOPPING italian ) (TOPPING sausage ) (TOPPING chard ) (TOPPING mushroom ) ) )
154,(ORDER (PIZZAORDER (NUMBER two ) (SIZE large ) (TOPPING smoke ) (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) )
155,(ORDER (PIZZAORDER (NUMBER twelve ) (TOPPING potato ) (TOPPING and ) (TOPPING cheese ) ) )
156,(ORDER (PIZZAORDER (NUMBER a ) (STYLE smll ) (TOPPING tomatoe ) (TOPPING sauce ) (TOPPING spicy ) (TOPPING red ) (TOPPING sauce ) (TOPPING spinach ) ) )
157,(ORDER (PIZZAORDER (NUMBER one ) (SIZE large ) (TOPPING tomato ) (TOPPING chorizo ) (TOPPING onion ) ) )
158,(ORDER (PIZZAORDER (NUMBER one ) (SIZE small ) (TOPPING ricotta ) (TOPPING cheese ) (TOPPING spinach ) (NOT (TOPPING green pepper ) ) ) )
159,(ORDER (PIZZAORDER (NUMBER one ) (STYLE persoal mexican ) (NOT (TOPPING roast red onion ) ) ) (PIZZAORDER (NUMBER two ) (SIZE medium ) (TOPPING chicen ) (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING grill ) ) ) )
